,Frame No,Car Details
182,654,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017564700000008315}"
183,655,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01710710000000404}"
184,656,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016565200000002278}"
185,657,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01619990000000371}"
186,658,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01682689999999809}"
187,659,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017452800000000934}"
188,660,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017047199999993268}"
189,661,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01812400000000025}"
190,662,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017047499999989668}"
191,663,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016872500000005175}"
192,664,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016691699999995535}"
193,665,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016832899999997153}"
194,666,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017697200000000635}"
195,667,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01647510000000807}"
196,668,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.029241999999996438}"
197,669,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016658400000011397}"
198,670,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01647229999998956}"
199,671,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.020076899999992293}"
200,672,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01691759999999931}"
201,673,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01659039999999834}"
202,674,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01645960000000457}"
203,675,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017282200000011017}"
204,676,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.0173896999999954}"
205,677,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01672090000000992}"
206,678,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017627399999994964}"
207,679,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01633049999999514}"
208,801,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016642899999993688}"
209,802,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016618600000001038}"
210,803,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.018926800000002686}"
211,804,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018146500000000287}"
212,805,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.01777729999999167}"
213,806,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017568699999998216}"
214,807,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017532299999999168}"
215,808,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016407499999999686}"
216,809,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018519099999991795}"
217,810,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016632600000008324}"
218,811,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.02038190000000384}"
219,812,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.01708680000000129}"
220,813,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01642030000000716}"
221,814,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01710060000000624}"
222,815,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.018142800000006787}"
223,816,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017313799999996604}"
224,817,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01712159999999585}"
